   Nr |                      x |               math.tan |              cont_frac |            poly_approx |   err_frac |   err_poly |       t_libr |       t_frac |       t_poly
 5722 |      0.488255705756193 |      0.531149675967722 |      0.531149675968722 |      0.531145987541943 |   1.00e-12 |   3.69e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5723 |      0.724545463528725 |      0.885142197843007 |      0.885142197844007 |      0.884816955219871 |   1.00e-12 |   3.25e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5724 |     -0.480679470744937 |     -0.521474781473934 |     -0.521474781472934 |     -0.521471686166147 |   1.00e-12 |   3.10e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5725 |     -1.269442662062285 |     -3.217295487781479 |     -3.217295487780479 |     -3.217295665078510 |   1.00e-12 |   1.77e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5726 |      1.118059495447375 |      2.055773158520432 |      2.055773158521429 |      2.055779849853324 |   9.97e-13 |   6.69e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5727 |     -0.651160573923475 |     -0.762037299120539 |     -0.762037299119540 |     -0.761941788974503 |   1.00e-12 |   9.55e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5728 |     -0.226730913637901 |     -0.230697679665720 |     -0.230697679664720 |     -0.230697678928912 |   1.00e-12 |   7.37e-10 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5729 |      0.657585553853760 |      0.772243380497650 |      0.772243380498650 |      0.772136537473510 |   1.00e-12 |   1.07e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5730 |     -0.092670814767511 |     -0.092937011172810 |     -0.092937011171810 |     -0.092937011172771 |   1.00e-12 |   3.85e-14 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5731 |      0.742228972783112 |      0.917185215626324 |      0.917185215627323 |      0.916755441160438 |   9.99e-13 |   4.30e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5732 |     -1.511919129830341 |    -16.964873945440345 |    -16.964873945439351 |    -16.964873945440438 |   9.95e-13 |   9.24e-14 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5733 |     -1.212327109812070 |     -2.669113755006710 |     -2.669113755005710 |     -2.669114591620509 |   1.00e-12 |   8.37e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5734 |     -1.033428004098129 |     -1.678252289776290 |     -1.678252289775290 |     -1.678282794161325 |   1.00e-12 |   3.05e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5735 |      0.254579819117757 |      0.260226088029927 |      0.260226088030927 |      0.260226085380109 |   1.00e-12 |   2.65e-09 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5736 |      0.533591545237293 |      0.590751725514495 |      0.590751725515495 |      0.590741722290494 |   1.00e-12 |   1.00e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5737 |      0.448726625913960 |      0.481485524216413 |      0.481485524217413 |      0.481484090828975 |   1.00e-12 |   1.43e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5738 |      1.059637125368198 |      1.782907484177511 |      1.782907484178510 |      1.782927098971845 |   9.99e-13 |   1.96e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5739 |      0.364805819037214 |      0.381899540236426 |      0.381899540237426 |      0.381899397560286 |   1.00e-12 |   1.43e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5740 |     -1.246675912670442 |     -2.976468656618405 |     -2.976468656617406 |     -2.976468996761161 |   9.99e-13 |   3.40e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5741 |      1.517382020976759 |     18.703768108596709 |     18.703768108597718 |     18.703768108596762 |   1.01e-12 |   5.33e-14 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5742 |      0.913652099596597 |      1.296110585178773 |      1.296110585179774 |      1.296288724145147 |   1.00e-12 |   1.78e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5743 |     -1.513990913890224 |    -17.585016975450813 |    -17.585016975449832 |    -17.585016975450888 |   9.81e-13 |   7.46e-14 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5744 |     -1.381530876223675 |     -5.220344833997453 |     -5.220344833996453 |     -5.220344836733521 |   1.00e-12 |   2.74e-09 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5745 |      1.360904704169306 |      4.694193345996247 |      4.694193345997245 |      4.694193352922282 |   9.98e-13 |   6.93e-09 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5746 |      1.461731416171657 |      9.132467948111850 |      9.132467948112817 |      9.132467948131149 |   9.66e-13 |   1.93e-11 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5747 |      0.272994201861018 |      0.279984361941708 |      0.279984361942708 |      0.279984356205833 |   1.00e-12 |   5.74e-09 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5748 |     -0.221436562136421 |     -0.225128305629015 |     -0.225128305628015 |     -0.225128305061402 |   1.00e-12 |   5.68e-10 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5749 |      0.571031389985207 |      0.642424641784429 |      0.642424641785429 |      0.642403143227115 |   1.00e-12 |   2.15e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5750 |      0.620108733047178 |      0.714073169995138 |      0.714073169996138 |      0.714018428473199 |   1.00e-12 |   5.47e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5751 |     -0.117847018912331 |     -0.118395616651631 |     -0.118395616650631 |     -0.118395616651088 |   1.00e-12 |   5.43e-13 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5752 |      0.819075729736958 |      1.069729827590191 |      1.069729827591190 |      1.070299925540511 |   9.99e-13 |   5.70e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5753 |      0.415494378772827 |      0.441179197745743 |      0.441179197746743 |      0.441178590575673 |   1.00e-12 |   6.07e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5754 |      0.380253836953549 |      0.399707082998869 |      0.399707082999869 |      0.399706856728169 |   1.00e-12 |   2.26e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
